"site_name","site_id","ccamlr.region","longitude_epsg_4326","latitude_epsg_4326","common_name","day","month","year","season_starting","penguin_count","accuracy","count_type","vantage","reference"
"Emperor Island","EMPE","48.1",-68.71,-67.8646999999999,"emperor penguin",28,11,2009,2009,0,1,"nests","","<strong>Trathan  P. N.  P. T. Fretwell  and B. Stonehouse</strong><i>  2011</i>. First recorded loss of an emperor penguin colony in the recent period of Antarctic regional warming: Implications for other colonies. PLoS ONE 6:e14738."
"Snow Hill Island","SNOW","48.1",-57.44,-64.5199999999996,"emperor penguin",26,10,2009,2009,2164,2,"adults","vhr","<strong>Fretwell  P. T.  M. A. LaRue  P. Morin  G. L. Kooyman  B. Wienecke  N. Ratcliffe  A. J. Fox  A. H. Fleming  C. Porter  and P. N. Trathan  </strong><i> 2012</i>. An emperor penguin population estimate: The first global  synoptic survey of a species from space. PLoS ONE 7:e33751."
