site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Cape Bennett,BENN,48.2,-45.23599999999999,-60.619999999998846,chinstrap penguin,31,12,1983,1983,7250,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Blake Island,BLAK,48.1,-59.03029999999998,-63.64899999999951,chinstrap penguin,,,1990,1990,10,4,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Cape Bowles,BOWL,48.1,-54.09099999999999,-61.31599999999906,chinstrap penguin,25,12,1976,1976,33000,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Boyer Rocks,BOYE,48.1,-59.03709999999999,-63.5829499999995,chinstrap penguin,,,1990,1990,235,4,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Byewater Point (south),BPTS,48.1,-61.52626899999998,-62.77469499999936,chinstrap penguin,4,2,1987,1986,2500,3,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Brimstone Peak,BRIM,48.1,-57.75245099999999,-61.91240699999921,chinstrap penguin,31,1,1987,1986,10000,5,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Brittannia's Figleaf,BRIT,48.1,-55.21299999999999,-61.277999999999025,chinstrap penguin,13,12,2016,2016,2869,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brittannia's Figleaf West,BRIW,48.1,-55.24099999999999,-61.277999999999025,chinstrap penguin,19,12,1970,1970,11555,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Brimstone Peak (west),BRPW,48.1,-57.7633,-61.9183229999992,chinstrap penguin,31,1,1987,1986,6000,4,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Bruce Islands,BRUC,48.2,-44.92399999999999,-60.68299999999886,chinstrap penguin,,,1956,1956,5000,5,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Buchanan Point,BUCH,48.2,-44.46499999999998,-60.690999999998866,chinstrap penguin,28,12,1983,1983,6500,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Buskin Rocks,BUSK,48.1,-55.148999999999994,-61.05699999999898,chinstrap penguin,,,1971,1971,400,5,nests,ground,<strong>Burley  M.  and A.G.E. Jones  </strong><i> 1972</i>. Joint services expedition to the Elephant Group Islands 1976-1977. monograph.
Byers Peninsula,BYER,48.1,-61.06599999999999,-62.632999999999335,chinstrap penguin,,,1988,1988,3,1,nests,,<strong>Woehler  E. J. and J. P. Croxall  </strong><i> 1997</i>. The status and trends of Antarctic and sub-Antarctic seabirds. Marine Ornithology 25:43-66.
