site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Beagle Island,BEAG,48.1,-54.66749999999999,-63.41389999999948,ad{\'e}lie penguin,15,12,2015,2015,284535,2,nests,uav,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Beaufort Island North,BEAN,88.1,166.88099999999997,-76.92879999999998,ad{\'e}lie penguin,,12,2013,2013,989,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Beaufort Island,BEAU,88.1,166.89779999999996,-76.96939999999996,ad{\'e}lie penguin,,12,2013,2013,70468,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Bechervaise Island,BECH,58.4.2,62.81669999999999,-67.58329999999985,ad{\'e}lie penguin,,,2001,2001,2207,1,nests,ground,<strong>Clarke  J.  L. Emmerson  A. Townsend  and K. R. Kerry </strong><i> 2003</i>. Demographic characteristics of the Ad&#233;lie penguin population on B&#233;chervaise Island after 12 years of study. CCAMLR Science 10: 53-74.
Benten,BENT,58.4.2,39.24999999999999,-69.04169999999992,ad{\'e}lie penguin,,,2004,2004,23,1,adults,ground,<strong>Kato  A.  and Y. Ropert-Coudert </strong><i> 2006</i>. Rapid increase in Ad&#233;lie penguin populations in the L&#252tzow-Holm Bay area since the mid 1990s.  Polar Bioscience 20: 55-62.
Berkley/Cameron,BERK,58.4.1,110.63999999999997,-66.21629999999979,ad{\'e}lie penguin,30,1,2011,2010,13423,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Berthelot Islands (excl. Green Island),BERT,48.1,-64.11199999999998,-65.3329999999997,ad{\'e}lie penguin,6,1,2013,2012,313,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Cape Bienvenue,BIEN,58.4.1,140.52519999999998,-66.72029999999981,ad{\'e}lie penguin,16,2,2011,2010,35466,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Biscoe Point,BISC,48.1,-63.77749999999999,-64.81139999999965,ad{\'e}lie penguin,,,2012,2012,522,1,nests,ground,<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2014a</i>. Management plan for Antarctic Specially Protected Area No. 139: Biscoe Point  Anvers Island  Palmer Archipelago. Measure 6  Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting  Brasilia  Brasil.
Bolingen/Lichen Island,BOLI,58.4.2,75.74739999999997,-69.45599999999992,ad{\'e}lie penguin,15,12,1981,1981,465,1,nests,aerial,<strong>Whitehead  M. D. and G. W. Johnstone  </strong><i> 1990</i>. The distribution and estimated abundance of Ad&#233;lie penguins breeding in Prydz Bay  Antarctica. In M. Fukuchi  Y. Ino  Y. Naito  Y. Ohyama  and M. Takahashi  editors  Proceedings of the NIPR Symposium on Polar Biology  volume 3  pages 91-98  Tokyo  Japan. National Institute of Polar Research.
Bongrain Point (Pourquoi Pas Island),BONG,48.1,-67.73189999999998,-67.72329999999987,ad{\'e}lie penguin,11,1,2013,2012,2284,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Cape Bowles,BOWL,48.1,-54.09099999999999,-61.31599999999906,ad{\'e}lie penguin,12,12,2006,2006,395,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Brash Island,BRAS,48.1,-54.914166999999985,-63.386388999999475,ad{\'e}lie penguin,17,12,2015,2015,94951,2,nests,uav,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Brattstrand Bluff,BRAT,58.4.2,76.99949999999998,-69.21569999999993,ad{\'e}lie penguin,15,12,1981,1981,5259,1,nests,aerial,<strong>Whitehead  M. D. and G. W. Johnstone  </strong><i> 1990</i>. The distribution and estimated abundance of Ad&#233;lie penguins breeding in Prydz Bay  Antarctica. In M. Fukuchi  Y. Ino  Y. Naito  Y. Ohyama  and M. Takahashi  editors  Proceedings of the NIPR Symposium on Polar Biology  volume 3  pages 91-98  Tokyo  Japan. National Institute of Polar Research.
Cape Bird Middle,BRDM,88.1,166.41869999999997,-77.23039299999999,ad{\'e}lie penguin,,12,2013,2013,4343,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Bird North,BRDN,88.1,166.44588999999993,-77.21448299999997,ad{\'e}lie penguin,,12,2013,2013,45572,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Bird South,BRDS,88.1,166.37944399999998,-77.25944399999999,ad{\'e}lie penguin,,12,2013,2013,16764,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Brown Bluff,BROW,48.1,-56.904999999999994,-63.52219999999949,ad{\'e}lie penguin,10,1,2013,2012,18630,3,adults,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brownson Islands,BSON,88.3,-103.63607399999998,-74.16811899999999,ad{\'e}lie penguin,19,12,2011,2011,15962,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Buckle Island,BUCK,88.1,163.28709999999995,-66.89079999999981,ad{\'e}lie penguin,6,12,2010,2010,277,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Cape Burks,BURK,88.2,-136.82958599999998,-74.75046599999997,ad{\'e}lie penguin,26,1,2011,2010,1209,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Cape Barne,CBAR,88.1,166.24161999999995,-77.57801199999997,ad{\'e}lie penguin,20,1,2011,2010,0,1,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Casey Bay,CBAY,58.4.2,48.6565,-67.37739999999984,ad{\'e}lie penguin,7,2,2011,2010,95,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Cape Davis,CDAV,88.1,163.53329999999997,-66.6499999999998,ad{\'e}lie penguin,,12,2005,2005,559,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Hallett,CHAL,88.1,170.21419999999998,-72.31789999999997,ad{\'e}lie penguin,,12,2013,2013,47169,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Chappel Island,CHAP,58.4.1,110.41929999999998,-66.17719999999979,ad{\'e}lie penguin,1,2,2011,2010,4597,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Charcot Island,CHAR,88.3,-75.40739999999998,-69.76169999999993,ad{\'e}lie penguin,3,2,2011,2010,28,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Chatos Island,CHAT,48.1,-69.15199999999999,-67.65999999999987,ad{\'e}lie penguin,11,1,2013,2012,135,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
